contract_id,asset_type,asset_value,interest_rate,monthly_payment,remaining_term_months,probability_of_default
ENP-2026-00162,Solar,23725.09,0.0575,192.4,240,0.0142
ENP-2026-00163,Solar,28049.03,0.0558,204.02,240,0.0461
ENP-2026-00164,Solar,24950.56,0.0579,181.52,240,0.0353
ENP-2026-00165,Solar,26530.8,0.0634,187.48,240,0.0025
ENP-2026-00166,Heat Pump,34619.59,0.0662,282.96,240,0.0388
ENP-2026-00167,Solar,24572.15,0.0531,154.49,240,0.0098
ENP-2026-00168,Solar,23702.89,0.0528,193.22,240,0.021
ENP-2026-00169,Solar,25590.45,0.0546,179.82,240,0.0189
ENP-2026-00170,Solar,25091.45,0.0582,200.2,240,0.0384
ENP-2026-00171,Solar,25806.6,0.0489,175.48,240,0.0062
ENP-2026-00172,Solar,24899.87,0.0601,163.07,240,0.0239
ENP-2026-00173,Solar,21510.93,0.0545,177.25,240,0.0167
ENP-2026-00174,Solar,22621.55,0.06,168.18,240,0.0342
ENP-2026-00175,Solar,23206.83,0.0609,202.38,240,0.0347
ENP-2026-00176,Solar,27326.46,0.0683,203.14,240,0.0234
ENP-2026-00177,Solar,24785.24,0.066,177.88,240,0.0275
ENP-2026-00178,Solar,27909.21,0.0573,171.34,240,0.0393
ENP-2026-00179,Heat Pump,38649.34,0.0656,234.74,240,0.0063
ENP-2026-00180,Solar,25590.47,0.0617,200.67,240,0.0109
ENP-2026-00181,Solar,28064.76,0.0601,207.72,240,0.0353
ENP-2026-00182,Solar,23072.48,0.0581,193.66,240,0.0511
ENP-2026-00183,Heat Pump,34750.48,0.0705,216.16,240,0.0062
ENP-2026-00184,Heat Pump,36983.69,0.0673,243.71,240,0.028
ENP-2026-00185,Solar,25488.2,0.0594,157.15,240,0.0118
ENP-2026-00186,Solar,24416.24,0.058,177.34,240,0.0301
ENP-2026-00187,Heat Pump,34256.14,0.0631,249.68,240,0.0295
ENP-2026-00188,Solar,26134.49,0.0565,173.06,240,0.0258
ENP-2026-00189,Solar,23917.05,0.0575,190.07,240,0.0475
ENP-2026-00190,Solar,26414.76,0.0594,185.13,240,0.009
ENP-2026-00191,Solar,27209.99,0.0561,198.86,240,0.0131
ENP-2026-00192,Heat Pump,34314.7,0.0643,258.68,240,0.004
ENP-2026-00193,Heat Pump,34732.39,0.0714,241.21,240,0.0253
ENP-2026-00194,Solar,27914.97,0.0504,174.83,240,0.0589
ENP-2026-00195,Solar,24047.87,0.0566,168.75,240,0.0199
ENP-2026-00196,Solar,23515.83,0.0587,188.06,240,0.0351
ENP-2026-00197,Solar,23151.46,0.0611,189.78,240,0.0622
ENP-2026-00198,Heat Pump,33765.62,0.0628,245.97,240,0.0137
ENP-2026-00199,Heat Pump,35542.61,0.0651,227.96,240,0.0136
ENP-2026-00200,Heat Pump,31118.55,0.0686,289.37,240,0.0361
ENP-2026-00201,Solar,22574.69,0.0531,179.83,240,0.0117
ENP-2026-00202,Solar,27116.95,0.0595,185.29,240,0.0145
ENP-2026-00203,Solar,22370.24,0.0527,192.64,240,0.0141
ENP-2026-00204,Heat Pump,40276.08,0.0723,234.36,240,0.0217
ENP-2026-00205,Solar,26346.95,0.0447,160.53,240,0.0306
ENP-2026-00206,Solar,22976.12,0.0521,152.83,240,0.0162
ENP-2026-00207,Solar,25795.28,0.0584,164.88,240,0.0275
ENP-2026-00208,Solar,27761.85,0.0582,209.12,240,0.0351
ENP-2026-00209,Solar,25814.18,0.0513,191.12,240,0.0208
ENP-2026-00210,Solar,23519.15,0.0561,197.0,240,0.0233
ENP-2026-00211,Solar,21463.17,0.0625,198.31,240,0.0032
ENP-2026-00212,Solar,24749.08,0.0513,175.03,240,0.0335
ENP-2026-00213,Solar,23005.47,0.0512,158.13,240,0.0333
ENP-2026-00214,Solar,24028.42,0.0548,220.85,240,0.0409
ENP-2026-00215,Solar,27149.06,0.0541,208.94,240,0.0307
ENP-2026-00216,Solar,24884.9,0.0551,189.19,240,0.0439
ENP-2026-00217,Solar,25155.17,0.057,182.04,240,0.0399
ENP-2026-00218,Solar,23857.1,0.0628,185.71,240,0.085
ENP-2026-00219,Solar,25965.07,0.0595,182.79,240,0.0251
ENP-2026-00220,Heat Pump,30043.57,0.061,282.44,240,0.0333
ENP-2026-00221,Solar,27671.14,0.0578,197.45,240,0.0167
ENP-2026-00222,Solar,24413.32,0.0558,187.98,240,0.0043
ENP-2026-00223,Solar,25314.29,0.0474,179.85,240,0.0183
ENP-2026-00224,Solar,28373.3,0.0545,191.61,240,0.0386
ENP-2026-00225,Solar,24937.48,0.0516,186.72,240,0.0274
ENP-2026-00226,Solar,24942.84,0.056,191.66,240,0.0123
ENP-2026-00227,Heat Pump,33720.29,0.0616,256.51,240,0.0112
ENP-2026-00228,Solar,23987.33,0.063,185.54,240,0.0043
ENP-2026-00229,Heat Pump,34250.32,0.0668,277.76,240,0.0209
ENP-2026-00230,Solar,24071.06,0.0622,183.27,240,0.0055
ENP-2026-00231,Heat Pump,32509.79,0.061,228.63,240,0.0086
ENP-2026-00232,Solar,24870.17,0.0622,169.61,240,0.0208
ENP-2026-00233,Solar,25159.16,0.0501,189.47,240,0.0374
ENP-2026-00234,Solar,25757.77,0.0572,196.59,240,0.0061
ENP-2026-00235,Solar,23535.4,0.0574,191.15,240,0.0169
ENP-2026-00236,Solar,26505.7,0.0563,173.92,240,0.0245
ENP-2026-00237,Solar,21280.67,0.0577,186.3,240,0.003
ENP-2026-00238,Solar,27394.19,0.0542,195.66,240,0.0227
ENP-2026-00239,Solar,24129.5,0.0606,161.41,240,0.047
ENP-2026-00240,Solar,24577.42,0.0539,172.52,240,0.0097
ENP-2026-00241,Heat Pump,37181.5,0.0705,260.88,240,0.0101
ENP-2026-00242,Heat Pump,36100.18,0.0705,271.64,240,0.0292
ENP-2026-00243,Heat Pump,37487.45,0.0606,254.63,240,0.0196
ENP-2026-00244,Solar,24164.42,0.0582,186.76,240,0.0567
ENP-2026-00245,Solar,24190.61,0.068,197.69,240,0.004
ENP-2026-00246,Heat Pump,36051.5,0.0692,250.68,240,0.014
ENP-2026-00247,Solar,27464.66,0.0548,194.47,240,0.0281
ENP-2026-00248,Heat Pump,34935.8,0.0649,240.84,240,0.0318
ENP-2026-00249,Heat Pump,34622.76,0.0621,284.67,240,0.0095
ENP-2026-00250,Heat Pump,36011.03,0.0633,300.17,240,0.0051
ENP-2026-00251,Solar,24365.79,0.054,188.57,240,0.0497
ENP-2026-00252,Solar,27142.04,0.0531,187.75,240,0.0776
ENP-2026-00253,Heat Pump,33872.05,0.0628,250.21,240,0.0005
ENP-2026-00254,Solar,28364.57,0.0526,174.92,240,0.0711
ENP-2026-00255,Solar,27298.97,0.0501,186.12,240,0.0454
ENP-2026-00256,Solar,22211.17,0.0643,197.05,240,0.0277
ENP-2026-00257,Heat Pump,36709.28,0.0637,216.05,240,0.0413
ENP-2026-00258,Solar,27109.61,0.044,186.51,240,0.0056
ENP-2026-00259,Solar,24001.5,0.0486,173.24,240,0.0393
ENP-2026-00260,Solar,27272.69,0.0598,172.35,240,0.0222
ENP-2026-00261,Solar,25369.93,0.07,167.05,240,0.078
ENP-2026-00262,Heat Pump,35907.29,0.0647,231.87,240,0.0164
ENP-2026-00263,Solar,21597.72,0.0599,183.97,240,0.0252
ENP-2026-00264,Solar,22052.48,0.0596,183.22,240,0.0407
ENP-2026-00265,Heat Pump,36260.81,0.0702,272.14,240,0.0027
ENP-2026-00266,Solar,24019.4,0.055,199.11,240,0.0234
ENP-2026-00267,Solar,25374.21,0.0599,164.59,240,0.0036
ENP-2026-00268,Solar,26951.76,0.0594,179.89,240,0.0235
ENP-2026-00269,Solar,23440.39,0.063,151.76,240,0.0048
ENP-2026-00270,Solar,23337.39,0.059,188.44,240,0.0165
ENP-2026-00271,Heat Pump,30532.15,0.0652,224.37,240,0.0289
ENP-2026-00272,Heat Pump,38394.37,0.0604,252.12,240,0.0059
ENP-2026-00273,Heat Pump,34801.5,0.0597,267.72,240,0.0312
ENP-2026-00274,Heat Pump,36363.51,0.0601,257.57,240,0.0297
ENP-2026-00275,Solar,22249.83,0.0601,166.02,240,0.0115
ENP-2026-00276,Solar,24195.85,0.0598,188.36,240,0.011
ENP-2026-00277,Heat Pump,31504.39,0.0674,248.98,240,0.0143
ENP-2026-00278,Solar,27358.1,0.0508,181.96,240,0.017
ENP-2026-00279,Solar,27093.43,0.0498,160.4,240,0.0339
ENP-2026-00280,Heat Pump,35692.59,0.0723,254.08,240,0.0828
ENP-2026-00281,Heat Pump,35851.36,0.0676,244.94,240,0.0344
ENP-2026-00282,Solar,25345.68,0.0603,181.98,240,0.0329
ENP-2026-00283,Solar,25646.49,0.0618,167.43,240,0.001
ENP-2026-00284,Solar,24463.26,0.0598,201.41,240,0.0304
ENP-2026-00285,Solar,25750.72,0.0679,174.37,240,0.0162
ENP-2026-00286,Solar,21822.24,0.06,179.66,240,0.0391
ENP-2026-00287,Solar,23596.09,0.0618,183.14,240,0.0178
ENP-2026-00288,Solar,26460.5,0.0561,171.4,240,0.0427
ENP-2026-00289,Solar,21931.75,0.0538,171.9,240,0.0107
ENP-2026-00290,Solar,25311.31,0.0525,203.46,240,0.0476
ENP-2026-00291,Solar,22555.27,0.0522,170.84,240,0.0076
ENP-2026-00292,Solar,24199.75,0.0605,181.22,240,0.0241
ENP-2026-00293,Heat Pump,34531.17,0.0674,271.39,240,0.0184
ENP-2026-00294,Solar,28112.21,0.0592,185.95,240,0.0283
ENP-2026-00295,Solar,22853.62,0.056,192.33,240,0.0535
ENP-2026-00296,Solar,24923.17,0.0593,171.29,240,0.0326
ENP-2026-00297,Heat Pump,40138.13,0.0643,260.67,240,0.0176
ENP-2026-00298,Solar,23305.37,0.0557,207.13,240,0.044
ENP-2026-00299,Solar,24567.16,0.0611,178.44,240,0.0159
ENP-2026-00300,Solar,27194.44,0.0649,179.36,240,0.0388
ENP-2026-00301,Solar,22483.47,0.0678,184.99,240,0.0379
ENP-2026-00302,Solar,26610.17,0.0523,176.53,240,0.0406
ENP-2026-00303,Solar,25190.92,0.0577,180.71,240,0.0339
ENP-2026-00304,Solar,20515.56,0.0622,182.46,240,0.0326
ENP-2026-00305,Solar,23307.92,0.0611,185.36,240,0.0054
ENP-2026-00306,Heat Pump,40240.36,0.0568,225.87,240,0.052
ENP-2026-00307,Solar,23771.92,0.069,164.48,240,0.0165
ENP-2026-00308,Solar,25943.06,0.0567,170.27,240,0.0254
ENP-2026-00309,Heat Pump,31896.21,0.0625,240.16,240,0.0179
ENP-2026-00310,Solar,24857.32,0.0666,206.63,240,0.0244
ENP-2026-00311,Solar,26207.56,0.0551,202.31,240,0.0399
ENP-2026-00312,Solar,22654.61,0.0564,189.66,240,0.0133
ENP-2026-00313,Solar,24214.55,0.049,174.2,240,0.0456
ENP-2026-00314,Heat Pump,33000.13,0.0684,292.85,240,0.0649
ENP-2026-00315,Heat Pump,32884.05,0.0619,282.42,240,0.0316
ENP-2026-00316,Solar,23351.88,0.0631,191.73,240,0.0333
ENP-2026-00317,Solar,26702.82,0.0585,157.94,240,0.0239
ENP-2026-00318,Solar,28773.44,0.0505,181.66,240,0.0536
ENP-2026-00319,Solar,27955.44,0.0578,163.05,240,0.0474
ENP-2026-00320,Solar,24713.51,0.0588,176.93,240,0.0563
ENP-2026-00321,Solar,24374.14,0.0528,182.07,240,0.0334
ENP-2026-00322,Solar,25551.33,0.0608,183.93,240,0.0555
ENP-2026-00323,Solar,22808.32,0.0553,169.03,240,0.0055
ENP-2026-00324,Solar,26599.21,0.064,174.22,240,0.0903
ENP-2026-00325,Heat Pump,36301.25,0.0622,270.91,240,0.0192
ENP-2026-00326,Solar,25316.57,0.0557,173.95,240,0.0511
ENP-2026-00327,Solar,22843.37,0.0518,207.82,240,0.0468
ENP-2026-00328,Solar,24656.05,0.0599,200.41,240,0.0124
ENP-2026-00329,Solar,22721.88,0.0518,175.33,240,0.0239
ENP-2026-00330,Solar,25556.25,0.0499,179.53,240,0.0351
ENP-2026-00331,Solar,23907.47,0.0575,188.11,240,0.0722
ENP-2026-00332,Heat Pump,35445.09,0.0637,249.35,240,0.0225
ENP-2026-00333,Solar,24032.03,0.0498,191.23,240,0.0265
ENP-2026-00334,Solar,22645.03,0.0582,162.91,240,0.0315
ENP-2026-00335,Solar,24452.74,0.0558,163.31,240,0.0052
ENP-2026-00336,Solar,22486.79,0.056,190.39,240,0.0215
ENP-2026-00337,Heat Pump,34549.56,0.0657,258.29,240,0.0053
ENP-2026-00338,Solar,20879.6,0.0597,189.04,240,0.0207
ENP-2026-00339,Solar,24662.43,0.0581,188.62,240,0.0563
ENP-2026-00340,Solar,25653.38,0.0518,198.64,240,0.0484
ENP-2026-00341,Solar,24598.86,0.068,164.18,240,0.0231
ENP-2026-00342,Solar,25477.83,0.0648,164.76,240,0.0302
ENP-2026-00343,Solar,22833.62,0.0612,197.11,240,0.0074
ENP-2026-00344,Solar,24969.06,0.0531,201.82,240,0.062
ENP-2026-00345,Solar,25428.22,0.0458,179.94,240,0.0145
ENP-2026-00346,Solar,24279.02,0.051,178.36,240,0.0304
ENP-2026-00347,Solar,19519.15,0.0569,200.86,240,0.0199
ENP-2026-00348,Solar,25919.99,0.0666,165.02,240,0.0124
ENP-2026-00349,Solar,22791.95,0.0597,176.22,240,0.0258
ENP-2026-00350,Solar,23716.07,0.0496,175.45,240,0.0417
ENP-2026-00351,Solar,26031.32,0.0559,157.54,240,0.0291
ENP-2026-00352,Heat Pump,34046.51,0.0656,243.81,240,0.03
ENP-2026-00353,Solar,24475.53,0.0579,177.05,240,0.0121
ENP-2026-00354,Solar,25318.98,0.0598,174.92,240,0.043
ENP-2026-00355,Solar,26010.52,0.0593,160.74,240,0.0446
ENP-2026-00356,Solar,27003.66,0.06,144.93,240,0.0374
ENP-2026-00357,Solar,25466.57,0.0607,209.04,240,0.0171
ENP-2026-00358,Solar,22896.94,0.0487,186.4,240,0.0565
ENP-2026-00359,Heat Pump,36337.28,0.0667,262.69,240,0.0152
ENP-2026-00360,Solar,25689.87,0.0582,191.82,240,0.0235
ENP-2026-00361,Solar,23955.17,0.0623,170.15,240,0.0128
ENP-2026-00362,Solar,28230.98,0.0654,192.47,240,0.0207
ENP-2026-00363,Solar,24449.04,0.0611,180.92,240,0.043
ENP-2026-00364,Solar,24924.2,0.0584,179.07,240,0.0071
ENP-2026-00365,Heat Pump,34798.97,0.06,251.92,240,0.0105
ENP-2026-00366,Solar,24689.46,0.056,158.57,240,0.018
ENP-2026-00367,Heat Pump,32979.76,0.0598,291.37,240,0.018
ENP-2026-00368,Heat Pump,40944.65,0.0588,218.86,240,0.0303
ENP-2026-00369,Solar,25244.98,0.0533,181.86,240,0.0561
ENP-2026-00370,Solar,25844.81,0.0521,206.52,240,0.0131
ENP-2026-00371,Solar,25286.81,0.0609,194.41,240,0.0497
ENP-2026-00372,Solar,23563.29,0.0571,177.8,240,0.0667
ENP-2026-00373,Solar,24329.71,0.0573,161.56,240,0.016
ENP-2026-00374,Solar,28823.85,0.0634,174.61,240,0.0441
ENP-2026-00375,Solar,24456.54,0.0487,179.05,240,0.0243
ENP-2026-00376,Solar,26161.04,0.0559,195.68,240,0.0299
ENP-2026-00377,Heat Pump,35008.78,0.0657,238.59,240,0.0088
ENP-2026-00378,Solar,25957.69,0.0623,180.14,240,0.0414
ENP-2026-00379,Heat Pump,32136.68,0.067,259.2,240,0.013
ENP-2026-00380,Solar,25926.45,0.0596,179.28,240,0.0268
ENP-2026-00381,Solar,28233.04,0.0547,175.23,240,0.0119
ENP-2026-00382,Solar,24486.61,0.0604,182.96,240,0.0473
ENP-2026-00383,Solar,24319.32,0.0569,186.83,240,0.016
ENP-2026-00384,Heat Pump,38752.12,0.0629,312.65,240,0.012
ENP-2026-00385,Solar,23626.79,0.0538,175.98,240,0.0117
ENP-2026-00386,Heat Pump,32760.69,0.0699,278.99,240,0.0325
ENP-2026-00387,Solar,24005.94,0.0532,185.44,240,0.0076
ENP-2026-00388,Solar,21124.05,0.0635,176.31,240,0.0061
ENP-2026-00389,Heat Pump,34272.87,0.0688,240.29,240,0.0121
ENP-2026-00390,Heat Pump,32016.32,0.0606,246.32,240,0.0141
ENP-2026-00391,Heat Pump,38741.91,0.0655,290.83,240,0.0745
